time,type,price,size
2024-11-15 00:00:00.070838,TRADE,5967.0,1
2024-11-15 00:00:00.071004,TRADE,5967.0,1
2024-11-15 00:00:00.071090,TRADE,5967.0,5
2024-11-15 00:00:00.165108,TRADE,5967.0,3
2024-11-15 00:00:00.165355,TRADE,5967.0,1
2024-11-15 00:00:00.338488,TRADE,5967.0,1
2024-11-15 00:00:00.427719,TRADE,5967.0,2
2024-11-15 00:00:00.620766,TRADE,5967.0,2
2024-11-15 00:00:01.026422,TRADE,5967.0,1
2024-11-15 00:00:01.259411,TRADE,5966.75,1
2024-11-15 00:00:01.337434,TRADE,5967.0,1
2024-11-15 00:00:01.337822,TRADE,5967.0,6
2024-11-15 00:00:01.866552,TRADE,5967.0,1
2024-11-15 00:00:01.866640,TRADE,5967.0,1
2024-11-15 00:00:01.866721,TRADE,5967.0,1
2024-11-15 00:00:01.866794,TRADE,5967.0,4
2024-11-15 00:00:01.878123,TRADE,5967.0,1
2024-11-15 00:00:02.353022,TRADE,5967.0,1
2024-11-15 00:00:02.443574,TRADE,5966.75,6
2024-11-15 00:00:02.659966,TRADE,5966.75,1
2024-11-15 00:00:05.047615,TRADE,5967.0,1
2024-11-15 00:00:05.647238,TRADE,5966.75,1
2024-11-15 00:00:05.647320,TRADE,5966.75,3
2024-11-15 00:00:05.649133,TRADE,5966.75,1
2024-11-15 00:00:06.249391,TRADE,5966.5,3
2024-11-15 00:00:06.402678,TRADE,5966.5,3
2024-11-15 00:00:06.403035,TRADE,5966.5,1
2024-11-15 00:00:06.403228,TRADE,5966.5,1
2024-11-15 00:00:06.457583,TRADE,5966.5,1
2024-11-15 00:00:06.457789,TRADE,5966.5,2
2024-11-15 00:00:06.736781,TRADE,5966.25,1
2024-11-15 00:00:06.775293,TRADE,5966.5,4
2024-11-15 00:00:06.775510,TRADE,5966.5,1
2024-11-15 00:00:06.775751,TRADE,5966.5,2
2024-11-15 00:00:07.808913,TRADE,5966.5,1
2024-11-15 00:00:07.809182,TRADE,5966.5,7
2024-11-15 00:00:07.809422,TRADE,5966.5,2
2024-11-15 00:00:07.809627,TRADE,5966.5,3
2024-11-15 00:00:08.057781,TRADE,5966.25,1
2024-11-15 00:00:08.900591,TRADE,5966.5,3
2024-11-15 00:00:08.900810,TRADE,5966.5,3
2024-11-15 00:00:08.901661,TRADE,5966.5,1
2024-11-15 00:00:08.901916,TRADE,5966.5,1
2024-11-15 00:00:08.901965,TRADE,5966.5,1
2024-11-15 00:00:08.902079,TRADE,5966.5,1
2024-11-15 00:00:09.142883,TRADE,5966.5,1
2024-11-15 00:00:09.142911,TRADE,5966.5,1
2024-11-15 00:00:09.607739,TRADE,5966.5,2
2024-11-15 00:00:10.801964,TRADE,5966.5,1
2024-11-15 00:00:10.802216,TRADE,5966.5,6
2024-11-15 00:00:14.646977,TRADE,5966.75,9
2024-11-15 00:00:14.795071,TRADE,5966.75,1
